0,4,1,1,"4 - 1"
0,185,1,0,"232 - 185"
0,193,0,0,"200 - 193"
0,76,1,1,"76 - 62"
1,4,1,1,"4 - 1"
1,36,0,1,"147 - 36"
1,120,0,0,"226 - 120"
1,25,0,0,"65 - 25"
1,101,1,1,"101 - 17"
1,76,1,1,"76 - 62"
2,182,0,1,"182 - 116"
2,54,0,1,"75 - 54"
2,40,0,1,"185 - 40"
2,221,0,1,"221 - 198"
2,218,1,1,"218 - 24"
2,50,0,1,"196 - 50"
2,2,0,1,"145 - 2"
2,87,0,1,"139 - 87"
2,36,0,1,"97 - 36"
2,137,0,1,"137 - 113"
2,19,0,1,"19 - 3"
2,119,0,1,"147 - 119"
2,103,0,1,"136 - 103"
2,101,1,1,"101 - 17"
2,101,1,1,"101 - 17"
2,105,0,1,"244 - 105"
2,10,0,1,"57 - 10"
2,107,0,1,"172 - 107"
2,216,0,1,"216 - 110"
2,149,1,0,"149 - 123"
2,89,0,0,"178 - 89"
2,8,0,1,"8 - EM911"
2,165,0,1,"165 - 152"
2,206,0,1,"206 - 148"
3,97,0,0,"97 - 36"
3,182,0,1,"182 - 116"
3,54,0,1,"75 - 54"
3,40,0,1,"185 - 40"
3,221,0,1,"221 - 198"
3,221,0,1,"221 - 199"
3,90,1,1,"90 - 51"
3,218,1,1,"218 - 24"
3,193,0,0,"193 - 64"
3,50,0,1,"196 - 50"
3,2,0,1,"145 - 2"
3,87,0,1,"139 - 87"
3,36,0,1,"97 - 36"
3,137,0,1,"137 - 113"
3,243,1,0,"243 - 46"
3,19,0,1,"19 - 3"
3,133,0,0,"133 - 83"
3,132,0,1,"132 - 20"
3,103,0,1,"136 - 103"
3,101,1,1,"101 - 17"
3,101,1,1,"101 - 17"
3,105,0,1,"244 - 105"
3,10,0,1,"125 - 10"
3,38,0,1,"38 - 8"
3,216,0,1,"216 - 110"
3,149,1,0,"149 - 123"
3,203,0,1,"203 - 6"
3,204,1,1,"204 - 87"
3,172,0,1,"172 - 107"
3,8,0,1,"8 - EM911"
3,99,0,1,"190 - 99"
3,205,0,1,"205 - 66"
3,213,0,1,"213 - 80"
3,165,0,1,"165 - 152"
3,206,0,1,"206 - 148"
4,97,0,0,"97 - 36"
4,182,0,1,"182 - 119"
4,54,0,1,"104 - 54"
4,40,0,1,"185 - 40"
4,7,1,1,"105 - 7"
4,140,1,0,"140 - 57"
4,95,0,0,"95 - 41"
4,221,0,1,"221 - 199"
4,221,0,1,"221 - 146"
4,52,1,1,"122 - 52"
4,90,1,1,"90 - 51"
4,90,1,1,"90 - 56"
4,218,1,1,"218 - 162"
4,3,0,0,"216 - 3"
4,193,0,0,"193 - 64"
4,50,0,1,"124 - 50"
4,2,0,1,"139 - 2"
4,243,1,0,"243 - 46"
4,19,0,1,"110 - 19"
4,30,0,1,"81 - 30"
4,133,0,0,"133 - 83"
4,133,0,0,"153 - 133"
4,126,0,0,"126 - 17"
4,132,0,1,"132 - 20"
4,244,1,1,"244 - 84"
4,101,1,1,"101 - 17"
4,101,1,1,"101 - 28"
4,10,0,1,"125 - 10"
4,38,0,1,"38 - 8"
4,38,0,1,"38 - 24"
4,203,0,1,"203 - 6"
4,204,1,1,"204 - 87"
4,204,1,1,"204 - 87"
4,172,0,1,"172 - 107"
4,173,0,0,"173 - 26"
4,99,0,1,"190 - 99"
4,205,0,1,"205 - 66"
4,239,1,0,"239 - 104"
4,213,0,1,"213 - 80"
4,165,0,1,"165 - 152"
4,65,1,1,"65 - 25"
5,169,1,1,"182 - 169"
5,182,0,1,"182 - 119"
5,40,0,1,"185 - 40"
5,140,1,0,"140 - 57"
5,208,0,0,"208 - 77"
5,95,0,0,"95 - 41"
5,95,0,0,"95 - 29"
5,221,0,1,"221 - 146"
5,52,1,1,"122 - 52"
5,185,1,0,"185 - 40"
5,90,1,1,"90 - 56"
5,90,1,1,"90 - EM911"
5,218,1,1,"218 - 162"
5,218,1,1,"218 - 162"
5,44,0,1,"201 - 44"
5,50,0,1,"196 - 50"
5,2,0,1,"139 - 2"
5,137,0,1,"137 - 41"
5,19,0,1,"110 - 19"
5,30,0,1,"81 - 30"
5,133,0,0,"153 - 133"
5,126,0,0,"126 - 17"
5,244,1,1,"244 - 84"
5,103,0,1,"136 - 103"
5,128,1,0,"157 - 128"
5,101,1,1,"101 - 28"
5,101,1,1,"101 - 53"
5,105,0,1,"105 - 7"
5,10,0,1,"42 - 10"
5,38,0,1,"38 - 24"
5,38,0,1,"38 - 24"
5,112,0,1,"227 - 112"
5,13,0,0,"214 - 13"
5,200,0,1,"200 - 93"
5,204,1,1,"204 - 87"
5,172,0,1,"238 - 172"
5,8,0,1,"186 - 8"
5,173,0,0,"173 - 26"
5,173,0,0,"202 - 173"
5,99,0,1,"99 - 17"
5,239,1,0,"239 - 104"
5,239,1,0,"239 - 52"
5,165,0,1,"165 - 152"
5,58,1,0,"183 - 58"
5,65,1,1,"65 - 25"
5,71,0,0,"139 - 71"
5,206,0,1,"206 - 72"
